version,impl,level,op,iterations,warmup,total_ns,avg_ns,ops_per_sec,pk_bytes,ct_bytes,sk_bytes,ss_bytes,failures
SHAKE,Reference,L1,keypair,1000,50,64507896,64507.90,15501.98,610,706,2108,32,0
SHAKE,Reference,L1,encaps,1000,50,104006059,104006.06,9614.82,610,706,2108,32,0
SHAKE,Reference,L1,decaps,1000,50,130429220,130429.22,7666.99,610,706,2108,32,0
SHAKE,Reference,L2,keypair,1000,50,218080579,218080.58,4585.46,1186,1282,4518,32,0
SHAKE,Reference,L2,encaps,1000,50,275265837,275265.84,3632.85,1186,1282,4518,32,0
SHAKE,Reference,L2,decaps,1000,50,322217123,322217.12,3103.50,1186,1282,4518,32,0
SHAKE,Reference,L3,keypair,1000,50,475895266,475895.27,2101.30,1954,2114,7976,32,0
SHAKE,Reference,L3,encaps,1000,50,568033124,568033.12,1760.46,1954,2114,7976,32,0
SHAKE,Reference,L3,decaps,1000,50,651321414,651321.41,1535.34,1954,2114,7976,32,0
SHAKE,Reference,L4,keypair,1000,50,1085306607,1085306.61,921.40,2914,3170,11672,32,0
SHAKE,Reference,L4,encaps,1000,50,1219285480,1219285.48,820.15,2914,3170,11672,32,0
SHAKE,Reference,L4,decaps,1000,50,1343035496,1343035.50,744.58,2914,3170,11672,32,0
SHAKE,Optimized,L1,keypair,1000,50,63872953,63872.95,15656.08,610,706,2108,32,0
SHAKE,Optimized,L1,encaps,1000,50,101594955,101594.96,9843.01,610,706,2108,32,0
SHAKE,Optimized,L1,decaps,1000,50,127911285,127911.29,7817.92,610,706,2108,32,0
SHAKE,Optimized,L2,keypair,1000,50,222429019,222429.02,4495.82,1186,1282,4518,32,0
SHAKE,Optimized,L2,encaps,1000,50,273361024,273361.02,3658.17,1186,1282,4518,32,0
SHAKE,Optimized,L2,decaps,1000,50,316796425,316796.42,3156.60,1186,1282,4518,32,0
SHAKE,Optimized,L3,keypair,1000,50,480303298,480303.30,2082.02,1954,2114,7976,32,0
SHAKE,Optimized,L3,encaps,1000,50,568708189,568708.19,1758.37,1954,2114,7976,32,0
SHAKE,Optimized,L3,decaps,1000,50,639141584,639141.58,1564.60,1954,2114,7976,32,0
SHAKE,Optimized,L4,keypair,1000,50,1037577415,1037577.42,963.78,2914,3170,11672,32,0
SHAKE,Optimized,L4,encaps,1000,50,1172414408,1172414.41,852.94,2914,3170,11672,32,0
SHAKE,Optimized,L4,decaps,1000,50,1288293585,1288293.58,776.22,2914,3170,11672,32,0
SM3,Reference,L1,keypair,1000,50,63955954,63955.95,15635.76,610,706,2108,32,0
SM3,Reference,L1,encaps,1000,50,102748309,102748.31,9732.52,610,706,2108,32,0
SM3,Reference,L1,decaps,1000,50,130236038,130236.04,7678.37,610,706,2108,32,0
SM3,Reference,L2,keypair,1000,50,218653322,218653.32,4573.45,1186,1282,4518,32,0
SM3,Reference,L2,encaps,1000,50,275524158,275524.16,3629.45,1186,1282,4518,32,0
SM3,Reference,L2,decaps,1000,50,320494246,320494.25,3120.18,1186,1282,4518,32,0
SM3,Reference,L3,keypair,1000,50,476719422,476719.42,2097.67,1954,2114,7976,32,0
SM3,Reference,L3,encaps,1000,50,554086182,554086.18,1804.77,1954,2114,7976,32,0
SM3,Reference,L3,decaps,1000,50,630272349,630272.35,1586.62,1954,2114,7976,32,0
SM3,Reference,L4,keypair,1000,50,1086473635,1086473.64,920.41,2914,3170,11672,32,0
SM3,Reference,L4,encaps,1000,50,1222475982,1222475.98,818.01,2914,3170,11672,32,0
SM3,Reference,L4,decaps,1000,50,1345474037,1345474.04,743.23,2914,3170,11672,32,0
SM3,Optimized,L1,keypair,1000,50,64042095,64042.10,15614.73,610,706,2108,32,0
SM3,Optimized,L1,encaps,1000,50,102206812,102206.81,9784.08,610,706,2108,32,0
SM3,Optimized,L1,decaps,1000,50,128139790,128139.79,7803.98,610,706,2108,32,0
SM3,Optimized,L2,keypair,1000,50,219941213,219941.21,4546.67,1186,1282,4518,32,0
SM3,Optimized,L2,encaps,1000,50,274636371,274636.37,3641.18,1186,1282,4518,32,0
SM3,Optimized,L2,decaps,1000,50,317061925,317061.92,3153.96,1186,1282,4518,32,0
SM3,Optimized,L3,keypair,1000,50,479980337,479980.34,2083.42,1954,2114,7976,32,0
SM3,Optimized,L3,encaps,1000,50,573414886,573414.89,1743.94,1954,2114,7976,32,0
SM3,Optimized,L3,decaps,1000,50,642092787,642092.79,1557.41,1954,2114,7976,32,0
SM3,Optimized,L4,keypair,1000,50,1043343055,1043343.06,958.46,2914,3170,11672,32,0
SM3,Optimized,L4,encaps,1000,50,1183343134,1183343.13,845.06,2914,3170,11672,32,0
SM3,Optimized,L4,decaps,1000,50,1283676632,1283676.63,779.01,2914,3170,11672,32,0
